# latin9 aka iso-8859-15
# generated by
# recode -lfull latin9 | perl r2c.pl
# #r2c.pl
# while (<>) {
#       s/^\s+//;
# 	next if /^$/;
# 	@f = split /\s+/, $_, 6;
# 	print "0x", $f[2], "\t0x", $f[3], "\t#\t", uc $f[5];
# }
#
#0xHex	0xUCS2	#	ISO-8859-15
#
0x00	0x0000	#	NULL (NUL)
0x01	0x0001	#	START OF HEADING (SOH)
0x02	0x0002	#	START OF TEXT (STX)
0x03	0x0003	#	END OF TEXT (ETX)
0x04	0x0004	#	END OF TRANSMISSION (EOT)
0x05	0x0005	#	ENQUIRY (ENQ)
0x06	0x0006	#	ACKNOWLEDGE (ACK)
0x07	0x0007	#	BELL (BEL)
0x08	0x0008	#	BACKSPACE (BS)
0x09	0x0009	#	CHARACTER TABULATION (HT)
0x0a	0x000A	#	LINE FEED (LF)
0x0b	0x000B	#	LINE TABULATION (VT)
0x0c	0x000C	#	FORM FEED (FF)
0x0d	0x000D	#	CARRIAGE RETURN (CR)
0x0e	0x000E	#	SHIFT OUT (SO)
0x0f	0x000F	#	SHIFT IN (SI)
0x10	0x0010	#	DATALINK ESCAPE (DLE)
0x11	0x0011	#	DEVICE CONTROL ONE (DC1)
0x12	0x0012	#	DEVICE CONTROL TWO (DC2)
0x13	0x0013	#	DEVICE CONTROL THREE (DC3)
0x14	0x0014	#	DEVICE CONTROL FOUR (DC4)
0x15	0x0015	#	NEGATIVE ACKNOWLEDGE (NAK)
0x16	0x0016	#	SYNCRONOUS IDLE (SYN)
0x17	0x0017	#	END OF TRANSMISSION BLOCK (ETB)
0x18	0x0018	#	CANCEL (CAN)
0x19	0x0019	#	END OF MEDIUM (EM)
0x1a	0x001A	#	SUBSTITUTE (SUB)
0x1b	0x001B	#	ESCAPE (ESC)
0x1c	0x001C	#	FILE SEPARATOR (IS4)
0x1d	0x001D	#	GROUP SEPARATOR (IS3)
0x1e	0x001E	#	RECORD SEPARATOR (IS2)
0x1f	0x001F	#	UNIT SEPARATOR (IS1)
0x20	0x0020	#	SPACE
0x21	0x0021	#	EXCLAMATION MARK
0x22	0x0022	#	QUOTATION MARK
0x23	0x0023	#	NUMBER SIGN
0x24	0x0024	#	DOLLAR SIGN
0x25	0x0025	#	PERCENT SIGN
0x26	0x0026	#	AMPERSAND
0x27	0x0027	#	APOSTROPHE
0x28	0x0028	#	LEFT PARENTHESIS
0x29	0x0029	#	RIGHT PARENTHESIS
0x2a	0x002A	#	ASTERISK
0x2b	0x002B	#	PLUS SIGN
0x2c	0x002C	#	COMMA
0x2d	0x002D	#	HYPHEN-MINUS
0x2e	0x002E	#	FULL STOP
0x2f	0x002F	#	SOLIDUS
0x30	0x0030	#	DIGIT ZERO
0x31	0x0031	#	DIGIT ONE
0x32	0x0032	#	DIGIT TWO
0x33	0x0033	#	DIGIT THREE
0x34	0x0034	#	DIGIT FOUR
0x35	0x0035	#	DIGIT FIVE
0x36	0x0036	#	DIGIT SIX
0x37	0x0037	#	DIGIT SEVEN
0x38	0x0038	#	DIGIT EIGHT
0x39	0x0039	#	DIGIT NINE
0x3a	0x003A	#	COLON
0x3b	0x003B	#	SEMICOLON
0x3c	0x003C	#	LESS-THAN SIGN
0x3d	0x003D	#	EQUALS SIGN
0x3e	0x003E	#	GREATER-THAN SIGN
0x3f	0x003F	#	QUESTION MARK
0x40	0x0040	#	COMMERCIAL AT
0x41	0x0041	#	LATIN CAPITAL LETTER A
0x42	0x0042	#	LATIN CAPITAL LETTER B
0x43	0x0043	#	LATIN CAPITAL LETTER C
0x44	0x0044	#	LATIN CAPITAL LETTER D
0x45	0x0045	#	LATIN CAPITAL LETTER E
0x46	0x0046	#	LATIN CAPITAL LETTER F
0x47	0x0047	#	LATIN CAPITAL LETTER G
0x48	0x0048	#	LATIN CAPITAL LETTER H
0x49	0x0049	#	LATIN CAPITAL LETTER I
